country,year,sex,age,suicides,population,suicides_p100k,country_year,HDI, gdp_year,gdp_per_capita,generation
Albania,2010,male,55-74 years,20,241852,8,Albania2010,0.722,11926953259,4359,Silent
Albania,2010,male,35-54 years,20,371611,5,Albania2010,0.722,11926953259,4359,Generation X
Albania,2010,male,25-34 years,9,179720,5,Albania2010,0.722,11926953259,4359,Generation X
Albania,2010,male,75+ years,2,50767,4,Albania2010,0.722,11926953259,4359,Silent
Albania,2010,male,15-24 years,10,279508,4,Albania2010,0.722,11926953259,4359,Millenials
Albania,2010,female,25-34 years,6,183579,3,Albania2010,0.722,11926953259,4359,Generation X
Albania,2010,female,75+ years,2,64415,3,Albania2010,0.722,11926953259,4359,Silent
Albania,2010,female,35-54 years,12,394593,3,Albania2010,0.722,11926953259,4359,Generation X
Albania,2010,female,55-74 years,7,241491,3,Albania2010,0.722,11926953259,4359,Silent
Albania,2010,female,15-24 years,6,263581,2,Albania2010,0.722,11926953259,4359,Millenials
Albania,2010,female,5-14 years,2,223969,1,Albania2010,0.722,11926953259,4359,Generation Z
Albania,2010,male,5-14 years,0,240939,0,Albania2010,0.722,11926953259,4359,Generation Z
Argentina,2010,male,75+ years,206,657096,31,Argentina2010,0.811,4.23627E+11,11273,Silent
Argentina,2010,male,15-24 years,683,3455127,20,Argentina2010,0.811,4.23627E+11,11273,Millenials
Argentina,2010,male,25-34 years,485,3237957,15,Argentina2010,0.811,4.23627E+11,11273,Generation X
Argentina,2010,male,55-74 years,397,2740656,14,Argentina2010,0.811,4.23627E+11,11273,Silent
Argentina,2010,male,35-54 years,573,4648068,12,Argentina2010,0.811,4.23627E+11,11273,Generation X
Argentina,2010,female,15-24 years,150,3358103,4,Argentina2010,0.811,4.23627E+11,11273,Millenials
Argentina,2010,female,35-54 years,162,4804030,3,Argentina2010,0.811,4.23627E+11,11273,Generation X
Argentina,2010,female,25-34 years,101,3210247,3,Argentina2010,0.811,4.23627E+11,11273,Generation X
Argentina,2010,female,55-74 years,99,3212253,3,Argentina2010,0.811,4.23627E+11,11273,Silent
Argentina,2010,female,75+ years,34,1234182,3,Argentina2010,0.811,4.23627E+11,11273,Silent
Argentina,2010,male,5-14 years,33,3570316,1,Argentina2010,0.811,4.23627E+11,11273,Generation Z
Argentina,2010,female,5-14 years,20,3450419,1,Argentina2010,0.811,4.23627E+11,11273,Generation Z
Armenia,2010,male,75+ years,6,52333,11,Armenia2010,0.721,9260284938,3460,Silent
Armenia,2010,male,55-74 years,13,193100,7,Armenia2010,0.721,9260284938,3460,Silent
Armenia,2010,male,25-34 years,10,202936,5,Armenia2010,0.721,9260284938,3460,Generation X
Armenia,2010,male,35-54 years,15,346739,4,Armenia2010,0.721,9260284938,3460,Generation X
Armenia,2010,male,15-24 years,8,252152,3,Armenia2010,0.721,9260284938,3460,Millenials
Armenia,2010,female,55-74 years,7,253182,3,Armenia2010,0.721,9260284938,3460,Silent
Armenia,2010,female,75+ years,2,81770,2,Armenia2010,0.721,9260284938,3460,Silent
Armenia,2010,female,5-14 years,2,167142,1,Armenia2010,0.721,9260284938,3460,Generation Z
Armenia,2010,female,35-54 years,5,427571,1,Armenia2010,0.721,9260284938,3460,Generation X
Armenia,2010,male,5-14 years,2,191722,1,Armenia2010,0.721,9260284938,3460,Generation Z
Armenia,2010,female,15-24 years,2,270727,1,Armenia2010,0.721,9260284938,3460,Millenials
Armenia,2010,female,25-34 years,1,236851,0,Armenia2010,0.721,9260284938,3460,Generation X
Aruba,2010,male,35-54 years,4,15543,26,Aruba2010,,2467703911,25974,Generation X
Aruba,2010,male,55-74 years,2,8660,23,Aruba2010,,2467703911,25974,Silent
Aruba,2010,female,55-74 years,1,10186,10,Aruba2010,,2467703911,25974,Silent
Aruba,2010,female,15-24 years,0,6031,0,Aruba2010,,2467703911,25974,Millenials
Aruba,2010,female,25-34 years,0,6488,0,Aruba2010,,2467703911,25974,Generation X
Aruba,2010,female,35-54 years,0,17826,0,Aruba2010,,2467703911,25974,Generation X
Aruba,2010,female,5-14 years,0,7148,0,Aruba2010,,2467703911,25974,Generation Z
Aruba,2010,female,75+ years,0,2264,0,Aruba2010,,2467703911,25974,Silent
Aruba,2010,male,15-24 years,0,6437,0,Aruba2010,,2467703911,25974,Millenials
Aruba,2010,male,25-34 years,0,5568,0,Aruba2010,,2467703911,25974,Generation X
Aruba,2010,male,5-14 years,0,7414,0,Aruba2010,,2467703911,25974,Generation Z
Aruba,2010,male,75+ years,0,1441,0,Aruba2010,,2467703911,25974,Silent
Australia,2010,male,35-54 years,816,3076853,27,Australia2010,0.927,1.14426E+12,54887,Generation X
Australia,2010,male,75+ years,151,582009,26,Australia2010,0.927,1.14426E+12,54887,Silent
Australia,2010,male,25-34 years,311,1606526,19,Australia2010,0.927,1.14426E+12,54887,Generation X
Australia,2010,male,55-74 years,360,2051197,18,Australia2010,0.927,1.14426E+12,54887,Silent
Australia,2010,male,15-24 years,222,1618860,14,Australia2010,0.927,1.14426E+12,54887,Millenials
Australia,2010,female,35-54 years,228,3132534,7,Australia2010,0.927,1.14426E+12,54887,Generation X
Australia,2010,female,25-34 years,94,1579905,6,Australia2010,0.927,1.14426E+12,54887,Generation X
Australia,2010,female,75+ years,43,805401,5,Australia2010,0.927,1.14426E+12,54887,Silent
Australia,2010,female,15-24 years,80,1521652,5,Australia2010,0.927,1.14426E+12,54887,Millenials
Australia,2010,female,55-74 years,104,2103428,5,Australia2010,0.927,1.14426E+12,54887,Silent
Australia,2010,male,5-14 years,7,1420846,0,Australia2010,0.927,1.14426E+12,54887,Generation Z
Australia,2010,female,5-14 years,4,1348336,0,Australia2010,0.927,1.14426E+12,54887,Generation Z
Austria,2010,male,75+ years,180,240431,75,Austria2010,0.879,3.91893E+11,49181,Silent
Austria,2010,male,55-74 years,287,838208,34,Austria2010,0.879,3.91893E+11,49181,Silent
Austria,2010,male,35-54 years,325,1296607,25,Austria2010,0.879,3.91893E+11,49181,Generation X
Austria,2010,male,15-24 years,91,518657,18,Austria2010,0.879,3.91893E+11,49181,Millenials
Austria,2010,male,25-34 years,85,542986,16,Austria2010,0.879,3.91893E+11,49181,Generation X
Austria,2010,female,75+ years,62,431151,14,Austria2010,0.879,3.91893E+11,49181,Silent
Austria,2010,female,55-74 years,90,923411,10,Austria2010,0.879,3.91893E+11,49181,Silent
Austria,2010,female,35-54 years,102,1291400,8,Austria2010,0.879,3.91893E+11,49181,Generation X
Austria,2010,female,25-34 years,25,539299,5,Austria2010,0.879,3.91893E+11,49181,Generation X
Austria,2010,female,15-24 years,14,499638,3,Austria2010,0.879,3.91893E+11,49181,Millenials
Austria,2010,male,5-14 years,2,433795,0,Austria2010,0.879,3.91893E+11,49181,Generation Z
Austria,2010,female,5-14 years,1,412838,0,Austria2010,0.879,3.91893E+11,49181,Generation Z
Bahamas,2010,male,75+ years,1,3090,32,Bahamas2010,0.774,10095760000,30239,Silent
Bahamas,2010,female,15-24 years,2,31792,6,Bahamas2010,0.774,10095760000,30239,Millenials
Bahamas,2010,male,35-54 years,3,50326,6,Bahamas2010,0.774,10095760000,30239,Generation X
